start,end,text,speaker
00:01:38.200,00:01:39.200,My pen light.,UNKNOWN
00:01:39.200,00:01:40.200,Try on the eyes.,UNKNOWN
00:01:40.200,00:01:41.200,Pupils react to light.,UNKNOWN
00:01:41.200,00:01:43.200,Pupils are reactive to light.,UNKNOWN
00:01:43.200,00:01:44.200,Pupils are reactive to light.,UNKNOWN
00:01:44.200,00:01:45.200,Pupils are reactive to light.,UNKNOWN
00:01:45.200,00:01:46.200,Pupils are reactive to light.,UNKNOWN
00:01:46.200,00:01:47.200,Pupils are reactive to light.,UNKNOWN
00:01:47.200,00:01:48.200,Pupils are reactive to light.,UNKNOWN
00:01:48.200,00:01:48.380,"Louvre of that's what it says,",UNKNOWN
00:01:48.380,00:01:48.980,no injury.,UNKNOWN
00:01:48.980,00:01:49.980,Just ask for P Northwestern.,UNKNOWN
00:01:49.980,00:01:50.980,county road 18!!!!,UNKNOWN
00:01:50.980,00:01:52.740,"99 miles,",UNKNOWN
00:01:52.740,00:01:54.260,"dramatic,",UNKNOWN
00:01:54.260,00:02:02.579,fine print Nike,UNKNOWN
00:02:02.579,00:02:07.620,Arg see.,UNKNOWN
00:02:07.620,00:02:09.620,Time nowiance using again.,UNKNOWN
00:02:09.620,00:02:12.560,horhow to Section penalty has passed.,UNKNOWN
00:02:12.560,00:02:13.980,June 29th is doomed to a National Lion Survey.,UNKNOWN
00:02:13.979,00:02:16.979,"I'm going to stop right there and we're going to actually, I want to grab either the needle",UNKNOWN
00:02:16.979,00:02:17.979,or the bag there.,UNKNOWN
00:02:17.979,00:02:19.979,We're going to needle the chest here.,UNKNOWN
00:02:19.979,00:02:25.979,I'm going to do a second in our constellate space mid-delicular just above the two rib.,UNKNOWN
00:02:25.979,00:02:27.979,That feels good.,UNKNOWN
00:02:29.979,00:02:32.979,"Actually, we need to look chest because that's expensive.",UNKNOWN
00:02:33.979,00:02:35.979,"Okay, needle and chest.",UNKNOWN
00:02:35.979,00:02:37.979,Do I hear any type of...,UNKNOWN
00:02:37.979,00:02:38.979,You do.,UNKNOWN
00:02:38.979,00:02:39.979,There it is.,UNKNOWN
00:02:39.979,00:02:40.979,"Okay, so I'm going to reconfirm.",UNKNOWN
00:02:40.979,00:02:42.979,I do have chest rise on the right side now.,UNKNOWN
00:02:42.979,00:02:43.979,We do.,UNKNOWN
00:02:43.979,00:02:44.979,Do you have my substance?,UNKNOWN
00:02:44.979,00:02:45.979,Abdominal area?,UNKNOWN
00:02:45.979,00:02:46.979,Abdominal and soft.,UNKNOWN
00:02:46.979,00:02:47.979,Okay.,UNKNOWN
00:02:47.979,00:02:48.979,Pelvis?,UNKNOWN
00:02:48.979,00:02:49.979,Some instability.,UNKNOWN
00:02:49.979,00:02:50.979,"Okay, so noted.",UNKNOWN
00:02:50.979,00:02:51.979,I'm going to stop there.,UNKNOWN
00:02:51.979,00:02:52.979,I'm going to put a pelvic binder on.,UNKNOWN
00:02:52.979,00:02:53.979,I'm partnering an IR.,UNKNOWN
00:03:05.979,00:03:06.979,Okay.,UNKNOWN
00:03:06.979,00:03:07.979,Do you partner?,UNKNOWN
00:03:08.979,00:03:10.979,When we first...,UNKNOWN
00:03:10.979,00:03:11.979,When we first...,UNKNOWN
00:03:11.979,00:03:12.979,We would levitate.,UNKNOWN
00:03:12.979,00:03:13.979,Do you?,UNKNOWN
00:03:13.979,00:03:14.979,Yep.,UNKNOWN
00:03:16.979,00:03:17.979,Okay.,UNKNOWN
00:03:20.979,00:03:21.979,A little higher.,UNKNOWN
00:03:21.979,00:03:22.979,Sure.,UNKNOWN
00:03:22.979,00:03:23.979,Okay.,UNKNOWN
00:03:30.979,00:03:31.979,Okay.,UNKNOWN
00:03:31.979,00:03:32.979,Hold down.,UNKNOWN
00:03:32.979,00:03:33.979,"Okay, pelvic stabilized.",UNKNOWN
00:03:34.979,00:03:35.979,Going to the left leg here.,UNKNOWN
00:03:35.979,00:03:37.979,If I can for any injuries.,UNKNOWN
00:03:37.979,00:03:38.979,Negative.,UNKNOWN
00:03:38.979,00:03:39.979,Pulses?,UNKNOWN
00:03:39.979,00:03:40.979,Pulses are intact.,UNKNOWN
00:03:40.979,00:03:41.979,Okay.,UNKNOWN
00:03:41.979,00:03:42.979,So you're keeping with your toes?,UNKNOWN
00:03:42.979,00:03:43.979,No response.,UNKNOWN
00:03:43.979,00:03:44.979,No response.,UNKNOWN
00:03:44.979,00:03:45.979,"Okay, down the left leg here.",UNKNOWN
00:03:45.979,00:03:46.979,Negative.,UNKNOWN
00:03:46.979,00:03:47.979,Good.,UNKNOWN
00:03:47.979,00:03:48.979,Start blood pressure and a stance there.,UNKNOWN
00:03:48.979,00:03:49.979,Going for a pulse?,UNKNOWN
00:03:49.979,00:03:50.979,Pulses intact.,UNKNOWN
00:03:50.979,00:03:51.979,Okay.,UNKNOWN
00:03:51.979,00:03:52.979,Left arm.,UNKNOWN
00:03:52.979,00:03:53.979,Same pulse.,UNKNOWN
00:03:53.979,00:03:54.979,Pulses intact.,UNKNOWN
00:03:54.979,00:03:55.979,Working a suprathate right hand.,UNKNOWN
00:03:55.979,00:03:56.979,No response.,UNKNOWN
00:03:56.979,00:03:57.979,No response.,UNKNOWN
00:03:57.979,00:03:58.979,Right arm pulses.,UNKNOWN
00:03:58.979,00:03:59.979,Pulses intact.,UNKNOWN
00:03:59.979,00:04:00.979,Okay.,UNKNOWN
00:04:00.979,00:04:01.979,Do you feel pulse there?,UNKNOWN
00:04:01.979,00:04:03.979,Blood pressure is 90 over 40.,UNKNOWN
00:04:03.979,00:04:05.979,Heart rate's 125.,UNKNOWN
00:04:05.979,00:04:07.979,Okay.,UNKNOWN
00:04:07.979,00:04:08.979,All right.,UNKNOWN
00:04:08.979,00:04:14.979,"So the lingers we have are the retinumal, which has been something.",UNKNOWN
00:04:14.979,00:04:16.980,"Oh, the saturation's not good.",UNKNOWN
00:04:16.980,00:04:19.980,We'll keep an eye on the right side in case it reinflates.,UNKNOWN
00:04:19.980,00:04:20.980,Pelvis is stabilized.,UNKNOWN
00:04:20.980,00:04:23.980,Let's go ahead and get them on a longboard and we'll get out of here.,UNKNOWN
00:04:23.980,00:04:24.980,Okay.,UNKNOWN
00:04:24.980,00:04:25.980,All right.,UNKNOWN
00:04:25.980,00:04:26.980,Nice job.,UNKNOWN
